Peak_I30_mm/h,PropHM23,dNBR/1000,KF,Response
2.0,0.217932682,0.297852875,0.25,0
2.0,0.061248741,0.224895584,0.25,0
2.0,0.042967882,0.06553743,0.2485406,0
1.2,0.092164478,0.141710999,0.25,0
1.2,0.058352671,0.210157913,0.25,0
1.2,0.156562519,0.337675507,0.25,0
2.0,0.261436386,0.208135666,0.25,0
2.0,0.059440675,0.315326691,0.25,0
2.0,0.031438735,0.3384104,0.25,0
2.0,0.043823137,0.062548531,0.2472831,0
2.0,0.084582825,0.248775864,0.25,0
2.0,0.187328587,0.129095383,0.25,0
2.0,0.114014301,0.304394623,0.25,0
2.0,0.291070766,0.235931793,0.25,0
2.0,0.113751984,0.315949493,0.25,0
2.0,0.361030197,0.261058685,0.25,0
7.62,0.021712091,0.069520134,0.0554303,0
6.1,0.021712091,0.069520134,0.0554303,0
7.62,0.079713044,0.07606485,0.0542726,0
6.1,0.079713044,0.07606485,0.0542726,0
7.62,0.001074681,0.080441063,0.0509787,0
6.1,0.001074681,0.080441063,0.0509787,0
7.62,0.0197688,0.061923843,0.0782609,0
6.1,0.0197688,0.061923843,0.0782609,0
7.62,0.007514808,0.019152323,0.0969892,0
6.1,0.007514808,0.019152323,0.0969892,0
2.4,0.876595535,0.168275986,0.2096025,0
2.4,0.719425888,0.110799873,0.2099999,0
2.4,0.909847412,0.281745941,0.2096428,0
2.4,0.818043442,0.066840515,0.2095306,0
2.4,0.471340675,0.030235754,0.21,0
2.4,0.763482819,0.106718994,0.21,0
8.625,0.671573029,0.067930351,0.2100001,0
8.625,0.426220627,0.061877991,0.21,0
2.4,0.887799683,0.161138992,0.21,0
2.4,0.46763176,0.025954779,0.2100001,0
30.99,0.751629105,0.638052307,0.0,1
30.99,0.825321198,0.704229126,0.0,1
30.99,0.886211472,0.648581848,0.0,1
30.99,0.804444962,0.578366455,0.0,1
30.99,0.654855576,0.738143189,0.0,1
14.22,0.321138954,0.456557037,0.33,0
4.06,0.321138954,0.456557037,0.33,0
6.1,0.321138954,0.456557037,0.33,0
14.22,0.284158421,0.428611572,0.33,1
4.06,0.284158421,0.428611572,0.33,0
6.1,0.284158421,0.428611572,0.33,0
14.22,0.443624802,0.473171967,0.33,1
4.06,0.443624802,0.473171967,0.33,0
6.1,0.443624802,0.473171967,0.33,0
4.06,0.964795837,0.99743866,0.33,0
6.1,0.964795837,0.99743866,0.33,0
4.06,0.338310471,0.375273285,0.33,0
6.1,0.338310471,0.375273285,0.33,0
4.06,0.887678452,0.860411011,0.33,0
6.1,0.887678452,0.860411011,0.33,0
11.68,0.743796005,0.556684876,0.17,1
3.05,0.743796005,0.556684876,0.17,0
9.65,0.743796005,0.556684876,0.17,1
18.8,0.743796005,0.556684876,0.17,1
11.68,0.788597565,0.614062317,0.1699999,1
3.05,0.788597565,0.614062317,0.1699999,0
9.65,0.788597565,0.614062317,0.1699999,1
18.8,0.788597565,0.614062317,0.1699999,1
11.68,0.686543579,0.519352966,0.17,1
3.05,0.686543579,0.519352966,0.17,0
9.65,0.686543579,0.519352966,0.17,1
18.8,0.686543579,0.519352966,0.17,1
11.68,0.240839062,0.381964722,0.17,0
3.05,0.240839062,0.381964722,0.17,0
11.68,0.161401119,0.717865662,0.17,0
3.05,0.161401119,0.717865662,0.17,0
11.68,0.344437637,0.44152002,0.17,0
3.05,0.344437637,0.44152002,0.17,0
11.68,0.086638651,0.461780945,0.1714376,0
3.05,0.086638651,0.461780945,0.1714376,0
11.68,0.117398777,0.546273438,0.1779264,0
3.05,0.117398777,0.546273438,0.1779264,0
11.68,0.622385979,0.553352356,0.192437,0
3.05,0.622385979,0.553352356,0.192437,0
11.68,0.705399017,0.629884094,0.175881,0
3.05,0.705399017,0.629884094,0.175881,0
11.68,0.18169241,0.623940613,0.1745758,0
3.05,0.18169241,0.623940613,0.1745758,0
11.68,0.718504562,0.640730957,0.1769435,0
3.05,0.718504562,0.640730957,0.1769435,0
18.29,0.681281509,0.587880676,0.175462,0
11.68,0.681281509,0.587880676,0.175462,0
3.05,0.681281509,0.587880676,0.175462,0
13.21,0.587621346,0.645115173,0.1699999,0
18.29,0.587621346,0.645115173,0.1699999,1
11.68,0.587621346,0.645115173,0.1699999,0
3.05,0.587621346,0.645115173,0.1699999,0
18.29,0.387358055,0.503541443,0.17,1
11.68,0.387358055,0.503541443,0.17,0
3.05,0.387358055,0.503541443,0.17,0
8.13,0.543432236,0.651393127,0.260501,0
17.27,0.543432236,0.651393127,0.260501,1
9.65,0.543432236,0.651393127,0.260501,0
2.03,0.543432236,0.651393127,0.260501,0
17.27,0.301870842,0.652141541,0.3223613,0
9.65,0.301870842,0.652141541,0.3223613,0
2.03,0.301870842,0.652141541,0.3223613,0
9.65,0.003136103,0.135432953,0.1862742,0
2.03,0.003136103,0.135432953,0.1862742,0
9.65,0.018586514,0.199569992,0.2036364,0
2.03,0.018586514,0.199569992,0.2036364,0
9.65,0.128048353,0.311480804,0.2392458,0
2.03,0.128048353,0.311480804,0.2392458,0
9.65,0.522286263,0.628875305,0.33,0
2.03,0.522286263,0.628875305,0.33,0
