Fire Name,Year,Fire_ID,Fire_SegID,Database,State,UTM_Zone,UTM_X,UTM_Y,Response,StormDate,GaugeDist_m,StormStart,StormEnd,StormDur_H,StormAccum_mm,StormAvgI_mm/h,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,ContributingArea_km2,PropHM23,dNBR/1000,KF,Acc015_mm,Acc030_mm,Acc060_mm
Buckweed,2007,bck,bck_1035,Training,CA,11,368133.5165,3823231.989,0,2008-01-22 00:00:00,1998.67,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.3787667,0.217932682,0.297852875,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_1090,Training,CA,11,367871.0165,3822984.489,0,2008-01-22 00:00:00,2368.93,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.6896154,0.061248741,0.224895584,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_1570,Training,CA,11,367503.5165,3821741.989,0,2008-01-22 00:00:00,3956.74,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,2.7573118,0.042967882,0.06553743,0.2485406,0.8,1.0,2.0
Buckweed,2007,bck,bck_235,Training,CA,11,371108.5165,3824991.989,0,2008-01-22 00:00:00,1734.72,2008-01-21 15:47:00,2008-01-22 19:39:00,27.883,3.0,0.11,1.6,1.2,0.8,0.613415,0.092164478,0.141710999,0.25,0.4,0.6,0.8
Buckweed,2007,bck,bck_363,Training,CA,11,370763.5165,3824576.989,0,2008-01-22 00:00:00,1801.04,2008-01-21 15:47:00,2008-01-22 19:39:00,27.883,3.0,0.11,1.6,1.2,0.8,0.538875,0.058352671,0.210157913,0.25,0.4,0.6,0.8
Buckweed,2007,bck,bck_440,Training,CA,11,370518.5165,3824426.989,0,2008-01-22 00:00:00,2123.11,2008-01-21 15:47:00,2008-01-22 19:39:00,27.883,3.0,0.11,1.6,1.2,0.8,0.33451,0.156562519,0.337675507,0.25,0.4,0.6,0.8
Buckweed,2007,bck,bck_469,Training,CA,11,369146.0165,3824489.489,0,2008-01-22 00:00:00,1035.83,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.7706,0.261436386,0.208135666,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_604,Training,CA,11,369843.5165,3824206.989,0,2008-01-22 00:00:00,1899.12,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.1617,0.059440675,0.315326691,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_611,Training,CA,11,369283.5165,3824121.989,0,2008-01-22 00:00:00,1333.23,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,0.07905,0.031438735,0.3384104,0.25,0.8,1.0,2.0
Buckweed,2007,bck,bck_643,Training,CA,11,368648.5165,3824011.989,0,2008-01-22 00:00:00,1055.77,2008-01-21 16:27:00,2008-01-22 19:20:00,26.883,5.4,0.2,3.2,2.0,2.0,3.0174727,0.043823137,0.062548531,0.2472831,0.8,1.0,2.0
